Missingness,gamma,Tn1,Tn2,Tn3
5%,0.0,0.0599342830602246,0.0906854049285948,0.0813505640937584
5%,0.1,0.1372347139765763,0.1928392454313207,0.1405050362757308
5%,0.2,0.2429537707620138,0.237734395106844,0.2471123455094963
5%,0.3,0.3504605971281605,0.3295016433497393,0.3492184517941973
5%,0.4,0.4053169325055332,0.4407542494151805,0.4129801284515539
5%,0.5,0.4953172608610163,0.5197433775933115,0.5325139603669133
5%,0.6000000000000001,0.6215842563101479,0.6342849466519055,0.6019872262016239
5%,0.7000000000000001,0.6953486945830583,0.6978395184895757,0.6971661250041344
5%,0.8,0.7606105122813009,0.7757539259732941,0.779965867755412
5%,0.9,0.8708512008717193,0.921312975378431,0.9180455636901786
5%,1.0,0.9407316461437508,0.9754844739902692,0.9697300555052412
10%,0.0,0.0288457814208819,0.0704295601926514,0.0986256023823239
10%,0.1,0.1564508982420638,0.1736031158321058,0.1522156495355472
10%,0.2,0.2055831270005795,0.2667872245808043,0.2518157524829757
10%,0.3,0.3241772719000951,0.3851424445243783,0.3536252686280713
10%,0.4,0.3708065975224044,0.4588723657913692,0.4555109025424472
10%,0.5,0.4734362790220313,0.5047391968927453,0.5154165152430941
10%,0.6000000000000001,0.5939372247173825,0.6344816793878959,0.6102868204667237
10%,0.7000000000000001,0.6947693315999083,0.7082983543916737,0.6808733005198794
10%,0.8,0.7734273656237994,0.7904615599938808,0.7680758675183865
10%,0.9,0.8576870343522351,0.9042335257768171,0.8972505164478839
10%,1.0,0.9439779260882142,1.0,0.9971248005714164
20%,0.0,0.0485597975683933,0.0940198529906826,0.0694047959246592
20%,0.1,0.1600706579578405,0.18983521553071,0.1792653486622671
20%,0.2,0.2372327205009526,0.2362486217079821,0.2599415509869608
20%,0.3,0.3070976049078975,0.3596065622432497,0.3663728998106578
20%,0.4,0.4172279121101682,0.4591422514302349,0.4219589381224529
20%,0.5,0.5307607313293193,0.5695578808948303,0.5184467570680446
20%,0.6000000000000001,0.589283479217801,0.617634595634527,0.6061578369373568
20%,0.7000000000000001,0.7112928731162802,0.6998301279421362,0.6737297010373576
20%,0.8,0.7176050979182051,0.7939648591283092,0.7979224055412915
20%,0.9,0.8764380500875044,0.9103080423540414,0.8862211054435977
20%,1.0,0.9517409413647634,0.9865750221931936,0.9701022691328492
